country,year,gdp_per_capita,investment_rate,population_growth
LIC,2000,682.3277068,15.1323472,2.619409688
LIC,2010,853.9919034,17.28880301,2.818816995
LIC,2020,691.9918786,19.12976453,2.833356905
LIE,1990,,,1.489713664
LIE,2000,,,1.307329075
LIE,2010,,,0.780339504
LIE,2020,,,0.872668969
LKA,1990,1388.589518,22.20588967,0.63741176
LKA,2000,1956.933104,28.03927368,1.821928939
LKA,2010,2993.014115,,0.589181271
LKA,2020,4227.233153,32.87112315,0.53062656
LMC,1990,845.6390105,27.10046775,2.514121946
LMC,2000,1026.703806,24.29624332,2.021844706
LMC,2010,1531.266107,32.57891863,1.719184624
LMC,2020,2021.055034,26.40198923,1.349230407
LMY,1990,1637.90976,26.32213946,2.044660093
LMY,2000,2169.245802,24.29643409,1.562846517
LMY,2010,3513.142552,33.32135531,1.375614248
LMY,2020,4809.848964,33.73854573,1.120475077
LSO,1990,533.8249642,,1.91128488
LSO,2000,725.2636687,,0.033889448
LSO,2010,995.2334325,31.30119004,0.772821659
LSO,2020,944.8341284,26.26467012,1.18432063
LTE,1990,2569.811546,27.70143863,1.351592184
LTE,2000,3466.013106,25.3460727,0.783673441
LTE,2010,6525.606949,33.59224949,0.562341467
LTE,2020,9878.286263,35.88017781,0.314567007
LTU,1990,8333.350707,,0.36799903
LTU,2000,6384.308654,19.14462233,-0.70338544
LTU,2010,10884.11619,17.85780102,-2.09694342
LTU,2020,17443.65526,16.51982279,-0.02561613
LUX,1990,66027.07501,24.71269471,1.251745707
LUX,2000,92527.71087,22.5591443,1.344082996
LUX,2010,106544.0574,18.08319349,1.825405804
LUX,2020,105274.2472,17.92949005,1.666358674
LVA,1990,7622.698259,,-0.142736398
LVA,2000,6336.382967,24.96316416,-0.963935407
LVA,2010,10500.86662,20.93133946,-2.08130509
LVA,2020,14900.72957,22.15542592,-0.701211571
MAC,1990,31378.83042,22.81105991,2.984843964
MAC,2000,31772.63025,10.37945813,0.745924205
MAC,2010,74195.05778,13.24552244,0.373134761
MAC,2020,33853.77616,26.16852508,1.974426892
MAF,1990,,,6.48031064
MAF,2000,,,2.402274765
MAF,2010,,,0.965137403
MAF,2020,,,-7.515685066
